frequency,raw
8446.34,-29.66
8471.70,-29.49
8497.10,-28.98
8522.54,-28.31
8548.01,-28.70
8573.53,-28.47
8599.08,-28.10
8624.67,-27.69
8650.30,-27.63
8675.96,-27.74
8701.67,-26.93
8727.41,-26.81
8753.19,-26.58
8779.01,-26.50
8804.87,-26.10
8830.76,-25.54
8856.69,-25.39
8882.66,-25.08
8908.67,-24.86
8934.72,-24.78
8960.81,-25.25
8986.93,-25.46
9013.09,-26.21
9039.29,-26.37
9065.53,-26.64
9091.81,-26.85
9118.12,-27.26
9144.47,-27.92
9170.86,-28.06
9197.29,-28.67
9223.76,-29.11
9250.26,-29.38
9276.81,-28.93
9303.39,-28.47
9330.01,-28.48
9356.66,-28.69
9383.36,-28.56
9410.09,-28.92
9436.86,-29.06
9463.67,-29.64
9490.52,-29.07
9517.41,-28.95
9544.33,-28.77
9571.29,-28.58
9598.29,-28.84
9625.33,-29.46
9652.41,-29.82
9679.52,-30.24
9706.67,-31.04
9733.86,-31.44
9761.09,-31.24
9788.36,-30.78
9815.66,-30.51
9843.01,-30.77
9870.39,-30.75
9897.81,-30.57
9925.27,-30.75
9952.76,-30.67
9980.29,-30.69
10007.87,-30.77
10035.48,-31.30
10063.12,-31.60
10090.81,-31.90
10118.53,-32.19
10146.30,-32.56
10174.10,-32.71
10201.94,-32.25
10229.81,-32.15
10257.73,-32.73
10285.68,-33.48
10313.67,-33.77
10341.70,-35.03
10369.77,-35.61
10397.87,-35.52
10426.01,-35.87
10454.20,-36.01
10482.42,-35.14
10510.67,-35.29
10538.97,-35.73
10567.30,-36.07
10595.68,-35.64
10624.09,-35.99
10652.53,-36.52
10681.02,-36.18
10709.54,-36.31
10738.11,-36.77
10766.71,-37.18
10795.35,-37.10
10824.02,-37.08
10852.74,-36.60
10881.49,-36.13
10910.28,-35.57
10939.11,-35.95
10967.98,-35.32
10996.89,-35.20
11025.83,-35.50
11054.81,-36.05
11083.83,-36.17
11112.89,-36.28
11141.98,-37.00
11171.12,-37.28
11200.29,-37.63
11229.50,-37.88
11258.75,-37.78
11288.04,-38.21
11317.36,-38.82
11346.72,-39.01
11376.13,-38.90
11405.56,-38.78
11435.04,-39.04
11464.56,-38.65
11494.11,-38.58
11523.70,-38.45
11553.33,-38.47
11583.00,-38.65
11612.70,-38.76
11642.45,-38.38
11672.23,-38.61
11702.05,-38.97
11731.91,-39.38
11761.81,-39.64
